Name
1. Issues
"2. Present Perfect vs Present Perfect Continuous "
3. Verbs/nouns with the same form
4. Expressing opinions and supporting your opinion
5. Moving
"6. Zero and first conditional, future clauses + Expressions with take"
7. New Year✨
8. Ways of comparing
9. Good life
"10. Asking for agreement using question tags, agreeing and disagreeing "
11. Revision
